iter	Passed	Remaining
676	1922	917
677	1924	914
678	1927	911
679	1930	908
680	1932	905
681	1935	902
682	1937	899
683	1940	896
684	1942	893
685	1945	890
686	1947	887
687	1950	884
688	1953	881
689	1955	878
690	1958	875
691	1961	872
692	1963	870
693	1966	867
694	1969	864
695	1971	861
696	1974	858
697	1977	855
698	1979	852
699	1982	849
700	1984	846
701	1987	843
702	1989	840
703	1992	837
704	1995	834
705	1997	832
706	2000	829
707	2002	826
708	2005	823
709	2007	820
710	2010	817
711	2012	814
712	2015	811
713	2018	808
714	2021	805
715	2023	802
716	2027	800
717	2029	797
718	2033	794
719	2035	791
720	2038	788
721	2041	786
722	2044	783
723	2047	780
724	2051	777
725	2053	775
726	2057	772
727	2060	770
728	2064	767
729	2066	764
730	2069	761
731	2073	759
732	2076	756
733	2079	753
734	2082	750
735	2085	747
736	2088	745
737	2091	742
738	2094	739
739	2097	736
740	2100	734
741	2103	731
742	2106	728
743	2109	725
744	2112	723
745	2116	720
746	2118	717
747	2121	714
748	2124	711
749	2126	708
750	2129	706
751	2132	703
752	2135	700
753	2137	697
754	2140	694
755	2144	692
756	2147	689
757	2150	686
758	2152	683
759	2155	680
760	2158	677
761	2161	675
762	2163	672
763	2166	669
764	2169	666
765	2171	663
766	2174	660
767	2177	657
768	2180	654
769	2182	651
770	2185	649
771	2188	646
772	2190	643
773	2193	640
774	2196	637
775	2199	634
776	2201	631
777	2204	629
778	2207	626
779	2209	623
780	2212	620
781	2214	617
782	2217	614
783	2220	611
784	2222	608
785	2225	605
786	2227	602
787	2230	600
788	2232	597
789	2235	594
790	2238	591
791	2240	588
792	2243	585
793	2245	582
794	2248	579
795	2250	576
796	2253	573
797	2255	571
798	2258	568
799	2260	565
800	2263	562
801	2265	559
802	2268	556
803	2271	553
804	2273	550
805	2276	547
806	2278	544
807	2281	542
808	2283	539
809	2285	536
810	2288	533
811	2290	530
812	2293	527
813	2295	524
814	2298	521
815	2300	518
816	2303	515
817	2305	513
818	2308	510
819	2310	507
820	2313	504
821	2315	501
822	2318	498
823	2321	495
824	2323	492
825	2326	490
826	2328	487
827	2331	484
828	2333	481
829	2336	478
830	2338	475
831	2341	472
832	2343	469
833	2346	467
834	2348	464
835	2351	461
836	2353	458
837	2356	455
838	2358	452
839	2361	449
840	2363	446
841	2366	444
842	2368	441
843	2371	438
844	2373	435
845	2375	432
846	2378	429
847	2381	426
848	2383	423
849	2386	421
850	2389	418
851	2391	415
852	2394	412
853	2396	409
854	2399	406
855	2402	404
856	2404	401
857	2407	398
858	2409	395
859	2412	392
860	2414	389
861	2418	387
862	2420	384
863	2422	381
864	2425	378
865	2428	375
866	2430	372
867	2432	369
868	2435	367
869	2438	364
870	2440	361
871	2443	358
872	2445	355
873	2448	352
874	2450	350
875	2453	347
876	2455	344
877	2458	341
878	2460	338
879	2463	335
880	2465	333
881	2468	330
882	2471	327
883	2473	324
884	2476	321
885	2478	318
886	2481	316
887	2484	313
888	2487	310
889	2491	307
890	2494	305
891	2496	302
892	2499	299
893	2503	296
894	2505	293
895	2509	291
896	2512	288
897	2514	285
898	2518	282
899	2520	280
900	2523	277
901	2526	274
902	2529	271
903	2531	268
904	2535	266
905	2537	263
906	2540	260
907	2543	257
908	2546	254
909	2549	252
910	2552	249
911	2554	246
912	2557	243
913	2560	240
914	2563	238
915	2566	235
916	2569	232
917	2573	229
918	2575	227
919	2578	224
920	2581	221
921	2584	218
922	2586	215
923	2589	212
924	2592	210
925	2595	207
926	2598	204
927	2600	201
928	2603	198
929	2606	196
930	2609	193
931	2611	190
932	2614	187
933	2617	184
934	2620	182
935	2622	179
936	2625	176
937	2628	173
938	2630	170
939	2633	168
940	2636	165
941	2638	162
942	2641	159
943	2643	156
944	2645	153
945	2648	151
946	2651	148
947	2654	145
948	2656	142
949	2659	139
950	2662	137
951	2664	134
952	2667	131
953	2670	128
954	2672	125
955	2675	123
956	2678	120
957	2681	117
958	2683	114
959	2686	111
960	2689	109
961	2692	106
962	2695	103
963	2698	100
964	2701	97
965	2704	95
966	2706	92
967	2709	89
968	2711	86
969	2714	83
970	2717	81
971	2719	78
972	2722	75
973	2724	72
974	2727	69
975	2730	67
976	2733	64
977	2736	61
978	2739	58
979	2742	55
980	2744	53
981	2747	50
982	2749	47
983	2752	44
984	2754	41
985	2757	39
986	2759	36
987	2762	33
988	2764	30
989	2767	27
990	2769	25
991	2772	22
992	2774	19
993	2777	16
994	2779	13
995	2781	11
996	2784	8
997	2786	5
998	2789	2
999	2792	0
